JWatcher,Date,Tank,Fry Number,SexGonads,Sex1,Time In,Time Attack,Dissection START,Dissection END,SIDE RNA,SIDE ATAC,Pool,Length,Mass,Notes
NA,5/8/18,20-091,C3,,F,NA,NA,16:15,16:18,R,L,NA,32.73,0.49,
Y,5/8/18,20-091,E4,,M,15:23,15:33,16:33,16:35,L,R,2,29.73,0.36,predator got hung up on GoPro
NA,5/8/18,20-091,C4,,F,NA,NA,16:26,16:28,L,R,NA,29.79,0.4,
Y,5/9/18,20-091,E5,,F,10:20,10:30,11:33,11:36,L,R,1,27.43,0.35,
NA,5/9/18,20-091,C5,,M,NA,NA,11:44,11:47,L,R,NA,28.81,0.36,
Y,5/9/18,20-091,E6,,M,10:49,10:59,12:03,12:07,R,L,2,29.59,0.39,
NA,5/9/18,20-091,C6,,M,NA,NA,11:55,11:59,R,L,NA,27.75,0.36,
Y,5/9/18,20-091,E7,,M,15:04,15:14,16:17,16:20,L,R,1,31.9,0.54,
NA,5/9/18,20-091,C7,,F,NA,NA,16:28,16:31,L,R,NA,30.48,0.44,
Y,5/9/18,20-091,E8,,F,15:32,15:43,16:47,16:49,R,L,2,23.1,0.22,not sure if measurements are correct (originally had 0.33 for mass and 22.10 for length)
NA,5/9/18,20-091,C8,,M,NA,NA,16:39,16:41,R,L,NA,34.87,0.66,
